experiment_id,phase,dataset_version,cheese_category,prediction_task,model_family,model_config_id,n_train,n_val,n_test,split_strategy,grouping_variable,n_folds,train_r2,val_r2,test_r2,train_rmse,val_rmse,test_rmse,test_mae,result_file_path,evidence_status,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,test_accuracy,test_macro_f1,notes,loro_mean_r2,loro_median_r2,loro_std_r2,loro_min_r2,loro_max_r2
EXP-0055,overfitting_diagnosis_reduced_complexity,v7,soft,general_shelf_life,small_mlp,small_mlp_per_category_specialist_valusedTrue,6160.0,1320.0,1320.0,"context_id-grouped, granularity=per_category_specialist, validation_split_used=True",context_id,1,0.9839326483072,0.9792295507277212,0.9717713850917776,3.221178774523841,,4.809735431355138,2.6125554387265835,scripts\experiments\overfitting_diagnosis\experiment_1_4_results.csv,verified_from_result_file,,,,,,,,,,,,
EXP-0056,overfitting_diagnosis_reduced_complexity,v7,soft,general_shelf_life,small_mlp,small_mlp_per_category_specialist_valusedFalse,7480.0,1320.0,1320.0,"context_id-grouped, granularity=per_category_specialist, validation_split_used=False",context_id,1,0.9829599570223624,0.9849855952452996,0.9724586910824554,3.34481783436558,,4.750821262572085,2.5280554947366607,scripts\experiments\overfitting_diagnosis\experiment_1_4_results.csv,verified_from_result_file,,,,,,,,,,,,
EXP-0057,overfitting_diagnosis_reduced_complexity,v7,soft,safety_endpoint,ridge_regression,ridge_regression_per_category_specialist_valusedTrue,3360.0,720.0,720.0,"context_id-grouped, granularity=per_category_specialist, validation_split_used=True",context_id,1,0.6031413961790189,0.6008573475768312,0.5715037046078398,10.273733966879767,,10.625831941728167,8.257008249034598,scripts\experiments\overfitting_diagnosis\experiment_1_4_results.csv,verified_from_result_file,,,,,,,,,,,,
EXP-0058,overfitting_diagnosis_reduced_complexity,v7,soft,safety_endpoint,ridge_regression,ridge_regression_per_category_specialist_valusedFalse,4080.0,720.0,720.0,"context_id-grouped, granularity=per_category_specialist, validation_split_used=False",context_id,1,0.6055243616660951,0.6284969857545166,0.5649730135779882,10.2472554758257,,10.706499632764611,8.325170025277144,scripts\experiments\overfitting_diagnosis\experiment_1_4_results.csv,verified_from_result_file,,,,,,,,,,,,
EXP-0059,overfitting_diagnosis_reduced_complexity,v7,soft,safety_endpoint,shallow_decision_tree,shallow_decision_tree_per_category_specialist_valusedTrue,3360.0,720.0,720.0,"context_id-grouped, granularity=per_category_specialist, validation_split_used=True",context_id,1,0.6254768470482426,0.5355329219510665,0.5413435383186052,9.980441446251591,,10.993428729614577,8.419612641696899,scripts\experiments\overfitting_diagnosis\experiment_1_4_results.csv,verified_from_result_file,,,,,,,,,,,,
EXP-0060,overfitting_diagnosis_reduced_complexity,v7,soft,safety_endpoint,shallow_decision_tree,shallow_decision_tree_per_category_specialist_valusedFalse,4080.0,720.0,720.0,"context_id-grouped, granularity=per_category_specialist, validation_split_used=False",context_id,1,0.6265442873247402,0.6316875406500115,0.5519614815005511,9.970501968287936,,10.865434130109312,8.248564399188696,scripts\experiments\overfitting_diagnosis\experiment_1_4_results.csv,verified_from_result_file,,,,,,,,,,,,
EXP-0061,overfitting_diagnosis_reduced_complexity,v7,soft,safety_endpoint,shallow_random_forest,shallow_random_forest_per_category_specialist_valusedTrue,3360.0,720.0,720.0,"context_id-grouped, granularity=per_category_specialist, validation_split_used=True",context_id,1,0.6738677045747192,0.6001731720163224,0.5874675441332328,9.31337991456805,,10.426017946750594,7.905870719631424,scripts\experiments\overfitting_diagnosis\experiment_1_4_results.csv,verified_from_result_file,,,,,,,,,,,,
EXP-0062,overfitting_diagnosis_reduced_complexity,v7,soft,safety_endpoint,shallow_random_forest,shallow_random_forest_per_category_specialist_valusedFalse,4080.0,720.0,720.0,"context_id-grouped, granularity=per_category_specialist, validation_split_used=False",context_id,1,0.6741913550068312,0.6766349112701417,0.5940636429099102,9.31276774060054,,10.342329787034812,7.925870571236056,scripts\experiments\overfitting_diagnosis\experiment_1_4_results.csv,verified_from_result_file,,,,,,,,,,,,
EXP-0063,overfitting_diagnosis_reduced_complexity,v7,soft,safety_endpoint,small_mlp,small_mlp_per_category_specialist_valusedTrue,3360.0,720.0,720.0,"context_id-grouped, granularity=per_category_specialist, validation_split_used=True",context_id,1,0.773708877621757,0.4349189673326571,0.4826963036165854,7.7578999402389,,11.675142711502032,8.921594583601474,scripts\experiments\overfitting_diagnosis\experiment_1_4_results.csv,verified_from_result_file,,,,,,,,,,,,
EXP-0064,overfitting_diagnosis_reduced_complexity,v7,soft,safety_endpoint,small_mlp,small_mlp_per_category_specialist_valusedFalse,4080.0,720.0,720.0,"context_id-grouped, granularity=per_category_specialist, validation_split_used=False",context_id,1,0.7574653797102044,0.7417365772576219,0.4542769890089222,8.034971489192522,,11.99155601254764,9.02460889701855,scripts\experiments\overfitting_diagnosis\experiment_1_4_results.csv,verified_from_result_file,,,,,,,,,,,,
