granularity,category,task,model,validation_split_used,train_r2,train_rmse,train_mae,val_r2,val_rmse,test_r2,test_rmse,test_mae,overfit_gap_train_minus_test_r2,n_fit,n_val,n_test,training_duration_sec
per_category_specialist,hard,general_shelf_life,shallow_decision_tree,True,0.8875885425187506,15.021884411638553,11.493549961499005,0.8070936443130922,18.526933044945462,0.8606237426339385,16.183960881083568,11.85172677348882,0.02696479988481215,4200,900,900,0.04892444610595703
per_category_specialist,hard,general_shelf_life,shallow_decision_tree,False,0.8819899199668831,15.249759791378391,11.67543992095636,0.8586381495892625,15.859751359953462,0.8754484651183833,15.2990675704729,11.430919029453136,0.006541454848499884,5100,900,900,0.04019951820373535
per_category_specialist,hard,general_shelf_life,shallow_random_forest,True,0.9206565838675519,12.620442256179878,9.545905850029417,0.8732432628632283,15.018127582075902,0.9000221485254987,13.706997090850727,9.882715656372534,0.020634435342053226,4200,900,900,0.44997644424438477
per_category_specialist,hard,general_shelf_life,shallow_random_forest,False,0.916600655735902,12.819903863628719,9.828359576570518,0.8968720759171733,13.546228639691957,0.9032363766415933,13.484861243705598,9.757281219583929,0.013364279094308706,5100,900,900,0.553194522857666
per_category_specialist,hard,general_shelf_life,small_mlp,True,0.950918900521213,9.926045645491806,7.051614714044356,0.9198445800193878,11.942540168644273,0.9391472549284599,10.693761843462243,7.06582986378716,0.011771645592753122,4200,900,900,7.771500587463379
per_category_specialist,hard,general_shelf_life,small_mlp,False,0.9483469055076337,10.089081327291535,7.146735405549119,0.9347547317944516,10.774689757183943,0.939301539309404,10.680196904713428,7.1318180176987696,0.00904536619822971,5100,900,900,8.461314916610718
per_category_specialist,hard,safety_endpoint,ridge_regression,True,0.0397572923851095,20.63128702691245,17.654370558014026,-0.061556284874194844,20.55667370811404,-0.055061839469838336,21.433234698497024,18.115419562393306,0.09481913185494784,2240,480,480,0.005089998245239258
per_category_specialist,hard,safety_endpoint,ridge_regression,False,0.03278867278190445,20.51894590192025,17.617428193883974,0.04111765670190892,19.537275037765816,-0.04841352460030901,21.365598814398506,18.08269305850989,0.08120219738221346,2720,480,480,0.0056285858154296875
per_category_specialist,hard,safety_endpoint,shallow_decision_tree,True,0.1325325329211079,19.609314431391,16.699171535264394,-0.13961583993722093,21.299066428261696,-0.2244968244974268,23.09019462416742,19.39241945283351,0.3570293574185347,2240,480,480,0.015328645706176758
per_category_specialist,hard,safety_endpoint,shallow_decision_tree,False,0.10813625724605314,19.703510689695747,16.73582820848703,0.0957308633259184,18.97274561157416,-0.21188543849010655,22.970981155966374,18.74043748493716,0.3200216957361597,2720,480,480,0.017844676971435547
